iter	Logloss
0	0.6884808273
1	0.6836698763
2	0.6810215809
3	0.675895506144	0.670621018155	0.665017929266	0.661001827377	0.655903708
8	0.650939947
9	0.6467325926
10	0.6424356086
11	0.6372968823
12	0.6319715123
13	0.6270254987
14	0.6220460606
15	0.615306735
16	0.6105810294
17	0.6058607236
18	0.601809644
19	0.5978990669
20	0.5944149885
21	0.591782369
22	0.588675126
23	0.584508529
24	0.5808553081
25	0.575949038
26	0.5732287825
27	0.5694670537
28	0.5658241483
29	0.5618975903
30	0.5590200731
31	0.5549761788
32	0.550449602
33	0.5465371994
34	0.5426026361
35	0.539034972
36	0.5345482816
37	0.5301150973
38	0.5270214268
39	0.5234211017
40	0.5203118332
41	0.5181955705
42	0.5146540021
43	0.5122162806
44	0.5081815601
45	0.5040221424
46	0.5009770452
47	0.4982891426
48	0.4956148232
49	0.4928856257
50	0.489464405
51	0.4859945961
52	0.4842730257
53	0.4820818228
54	0.4790617734
55	0.4758070823
56	0.4725133679
57	0.4695066798
58	0.4665780483
59	0.4631950601
60	0.4599629846
61	0.4568626033
62	0.4538131813
63	0.4509075155664	0.4480102141665	0.445221412
66	0.4422176932667	0.4399478558668	0.4376627757669	0.4350694708
70	0.4332703758
71	0.4299092432772	0.4268745411773	0.424791229
74	0.4220821918
75	0.4194267218
76	0.4164771439
77	0.4138245512
78	0.4120133919
79	0.4091080448
80	0.4069464292881	0.404885448382	0.4007238145
83	0.3980418888
84	0.3962029727
85	0.3939262378
86	0.3916538499
87	0.3889899142
88	0.3868566509
89	0.3845116057
990	0.3848460331991	0.3835423134
92	0.3821353723
93	0.3807664786
94	0.3785817913
95	0.3764683668
96	0.3752643018
97	0.3733387326
98	0.3708989109
99	0.3692926223
100	0.3675668399
101	0.3649917274
102	0.3629081561
103	0.3609012894
104	0.359281575
105	0.357131644
106	0.3549676109
107	0.3532712976
108	0.3521206113
109	0.3505551891
110	0.349259193
111	0.3477386487
112	0.3460693412
113	0.3446813458
114	0.3425654077
115	0.3408697326
116	0.3393486719
117	0.3373950986
118	0.335742605
119	0.33382924
120	0.3327777448
121	0.3313650279
122	0.3287344711
123	0.3272107505
124	0.3258319629
125	0.324536853
126	0.3233670039
127	0.3221977599
128	0.3203773662
129	0.3192652863
130	0.3174171908
131	0.3154790012
132	0.3140726256
133	0.3128499812
134	0.311625943
135	0.3106699243
136	0.309113504
137	0.3071246761
138	0.3059465092
139	0.3040726945
140	0.302190084
141	0.3006706133
142	0.2991959647
143	0.2974343987
144	0.2963941716
145	0.2949525437
146	0.2935792441
147	0.2923814485
148	0.2912952648
149	0.2893081943
150	0.2879056476
151	0.286240152
152	0.2846130241
153	0.2831733809
154	0.2816969958
155	0.2801495267
156	0.2790031275
157	0.2783420109
158	0.2767146349
159	0.2754669561
160	0.2741974846
161	0.273096072
162	0.2719747683
163	0.2705841
164	0.2698811666
165	0.2684889081
166	0.2674985226
167	0.2661962132
168	0.2653044436
169	0.2645102801
170	0.2633622226
171	0.2618895542
172	0.260874127
173	0.2595173445
174	0.2578944966
175	0.2568140891
176	0.2556522092
177	0.2543860177
178	0.253518087
179	0.2523175593
180	0.2514540592
181	0.2501395978
182	0.2486344726
183	0.2477575638
184	0.2470999389
185	0.245692091
186	0.2442166318
187	0.2430238808
188	0.2421363903
189	0.2413902112
190	0.2404704391
191	0.2393698712
192	0.2380714954
193	0.2373886213
194	0.2361995757
195	0.2349566214
196	0.2340156599
197	0.2332946319
198	0.2326015115
199	0.2316919335
200	0.2306594438
201	0.2300633648
202	0.2288542737
203	0.2282160402
204	0.2271646364
205	0.2256071231
206	0.2250118709
207	0.2239141605
208	0.2228454088
209	0.2217243812
210	0.2209368728
211	0.2199940044
212	0.219215933
213	0.2183677048
214	0.2173761283
215	0.2166985142
216	0.2158573808
217	0.2148924102
218	0.2140124498
219	0.2131677562
220	0.2122509897
221	0.2115137233
222	0.2105765467
223	0.2099668514
224	0.209060406
225	0.2082373166
226	0.2072380977
227	0.2066194272
228	0.2057858081
229	0.2047957837
230	0.2039673515
231	0.2031338175
232	0.202530052
233	0.2018401206
234	0.2011141734
235	0.2002930828
236	0.1991361502
237	0.1985372634
238	0.197446403
239	0.1968248506
240	0.1961994235
241	0.1953471675
242	0.1946659217
243	0.1936762274
244	0.1929468127
245	0.1923873456
246	0.1916228525
247	0.1910004524
248	0.1901992217
249	0.1896703935
250	0.18897495
251	0.1880937973
252	0.1874234206
253	0.1865420526
254	0.1855937521
255	0.1848461532
256	0.1840899431
257	0.1833230717
258	0.1827210772
259	0.1822301536
260	0.1816119027
261	0.1809745001
262	0.1802270523
263	0.1793168906
264	0.1789100152
265	0.1780286219
266	0.1771050187
267	0.1761540399
268	0.1755605518
269	0.1751816748
270	0.1745842048
271	0.1741952255
272	0.17360026
273	0.1732399684
274	0.1729252147
275	0.1721724475
276	0.1718317849
277	0.1711242635
278	0.1707091523
279	0.1698464601
280	0.1691188313
281	0.1685409677
282	0.1680170732
283	0.1675721103
284	0.1670038889
285	0.1664693814
286	0.1662388529
287	0.1655111969
288	0.1650961401
289	0.1646231645
290	0.1643140589
291	0.1637696641
292	0.163478389
293	0.1627985999
294	0.162363019
295	0.1619552688
296	0.1614111037
297	0.1609003662
298	0.1602420317
299	0.1598110357
300	0.1590971142
301	0.1584167846
302	0.1580838033
303	0.1574653351
304	0.1569032191
305	0.1562093144
306	0.1553739676
307	0.1548887964
308	0.1543157226
309	0.1539338454
310	0.153422227
311	0.1527837958
312	0.1525522355
313	0.1520163014
314	0.1515391768
315	0.1511540793
316	0.1509366438
317	0.1502406838
318	0.1498861589
319	0.1494359367
320	0.1488694361
321	0.1485031748
322	0.1481897269
323	0.1477141429
324	0.1472580414
325	0.1467326651
326	0.1460262348
327	0.1456696524
328	0.1451673725
329	0.1447461522
330	0.1443883554
331	0.1438471037
332	0.143264671
333	0.1430172701
334	0.1426925575
335	0.1423151198
336	0.1417719033
337	0.1412357593
338	0.1408454347
339	0.1404345063
340	0.1399059318
341	0.1393855576
342	0.1390336286
343	0.1386190645
344	0.1383276483
345	0.1378466479
346	0.1372245976
347	0.1367995363
348	0.1363684464
349	0.1362027723
350	0.1356648621
351	0.1352573071
352	0.1348080212
353	0.134218568
354	0.133898213
355	0.1335676646
356	0.1329870758
357	0.1325720012
358	0.1320815652
359	0.1317019364
360	0.131408664
361	0.1309440978
362	0.1306513242
363	0.1303354285
364	0.1298759661
365	0.1294131998
366	0.129084599
367	0.1287928019
368	0.1284832229
369	0.1279835731
370	0.1275860666
371	0.127068336
372	0.1268810535
373	0.1263996817
374	0.1261135503
375	0.1258753224
376	0.1256172753
377	0.1251225816
378	0.1247070127
379	0.1242800131
380	0.1240399872
381	0.1235535747
382	0.1233435993
383	0.1229090446
384	0.12240361
385	0.1221339842
386	0.1218873999
387	0.121656747
388	0.1212870923
389	0.1208347573
390	0.1205047576
391	0.1202809764
392	0.1200878092
393	0.1198762518
394	0.1194749114
395	0.1189803603
396	0.1186361541
397	0.1183154209
398	0.1180381102
399	0.1178092947
400	0.1175497361
401	0.1172180505
402	0.116874624
403	0.1163755228
404	0.1160083474
405	0.1157490611
406	0.1153664964
407	0.115093428
408	0.1149892852
409	0.1148274437
410	0.1145975505
411	0.1142578773
412	0.11393263
413	0.1137084791
414	0.1134137334
415	0.1131413307
416	0.1125494762
417	0.1122156557
418	0.1119422433
419	0.1114809044
420	0.1112487921
421	0.110890664
422	0.1105600772
423	0.1103943875
424	0.1101495908
425	0.1098079975
426	0.1094718464
427	0.109076536
428	0.1087842512
429	0.1086007356
430	0.1082690711
431	0.1079315682
432	0.1076115186
433	0.1073133279
434	0.1069234281
435	0.1066378796
436	0.1064031415
437	0.1061322057
438	0.1056930015
439	0.1055066347
440	0.1052434886
441	0.1049895724
442	0.1046722803
443	0.1043374876
444	0.1041265263
445	0.1038549216
446	0.1035644711
447	0.1033203789
448	0.1029073738
449	0.1027000144
450	0.1024356649
451	0.1022712365
452	0.1021389267
453	0.10179847
454	0.1014375472
455	0.1012664202
456	0.1011771415
457	0.100831563
458	0.1005489944
459	0.100289705
460	0.1001433881
461	0.09995195815
462	0.09955683963
463	0.09929629593
464	0.0991129762
465	0.09891060675
466	0.0986826497
467	0.09844051647
468	0.09824327951
469	0.09800806209
470	0.09769630498
471	0.09754260653
472	0.09729268409
473	0.09713051062
474	0.09692910265
475	0.09674408712
476	0.09649038241
477	0.09625647796
478	0.096014645
479	0.09579892307
480	0.09554050687
481	0.09527189514
482	0.0950906562
483	0.09478091189
484	0.09451342767
485	0.09415390266
486	0.09391747953
487	0.0936415725
488	0.09340347183
489	0.09335319532
490	0.09301498505
491	0.09265220138
492	0.09248834846
493	0.09224702424
494	0.09198869754
495	0.09167952638
496	0.09147767473
497	0.09112398245
498	0.09083836042
499	0.09066506299
500	0.09047460806
501	0.09015802752
502	0.08990784789
503	0.08977800737
504	0.08962494117
505	0.08940876438
506	0.08920235927
507	0.08903996775
508	0.08892983849
509	0.08881178246
510	0.08859953431
511	0.08846758711
512	0.08823473194
513	0.08811564747
514	0.08804986181
515	0.0878026515
516	0.08761410279
517	0.08725456216
518	0.08709839161
519	0.08687519172
520	0.08675064488
521	0.08652872764
522	0.08633133844
523	0.08613586844
524	0.08592660452
525	0.0856860848
526	0.08540672488
527	0.08524719086
528	0.08500688209
529	0.08487482144
530	0.08466141804
531	0.084383961
532	0.08418278002
533	0.08397999819
534	0.0837111466
535	0.0835570994
536	0.08315994657
537	0.08292781391
538	0.08266244869
539	0.08252370456
540	0.08227219368
541	0.08210382165
542	0.08192074856
543	0.08174391203
544	0.0816002715
545	0.08138440577
546	0.0811266633
547	0.08081465405
548	0.08058103796
549	0.08043765322
550	0.08025583723
551	0.08007825011
552	0.07987404742
553	0.07973035572
554	0.0796116762
555	0.07947305684
556	0.07936202739
557	0.07909040881
558	0.07890850677
559	0.07882031483
560	0.07867513477
561	0.07847814171
562	0.07828103748
563	0.07803002931
564	0.07790384102
565	0.07769428028
566	0.07760750355
567	0.07747647089
568	0.07728618881
569	0.07707902907
570	0.07690298917
571	0.07674013607
572	0.07650746188
573	0.07631832466
574	0.07615025175
575	0.07597054903
576	0.0758096035
577	0.07556032278
578	0.07540794293
579	0.07524385881
580	0.07502769659
581	0.07484619097
582	0.0747212221
583	0.07457225323
584	0.07429365703
585	0.074147513
586	0.07402620269
587	0.07384480383
588	0.07363146309
589	0.07347419242
590	0.07329560505
591	0.07306736813
592	0.07292532252
593	0.07277332605
594	0.07259454622
595	0.07243055194
596	0.07221025107
597	0.07203496225
598	0.07183673434
599	0.07171685561
600	0.07162250802
601	0.07141371038
602	0.07130125888
603	0.07113280598
604	0.07092436049
605	0.07075806413
606	0.07057899777
607	0.07049585838
608	0.07036733617
609	0.07021207061
610	0.07009360325
611	0.06995350775
612	0.06977708938
613	0.06950734258
614	0.06935553398
615	0.0691904
616	0.06905549211
617	0.06887957215
618	0.06870511578
619	0.06855968906
620	0.0685102781
621	0.06838442507
622	0.06824403149
623	0.06816011279
624	0.06796809205
625	0.06774683661
626	0.0675852302
627	0.06734274201
628	0.06713962841
629	0.06699020205
630	0.06690220879
631	0.06676787474
632	0.06658413808
633	0.0664728902
634	0.06629404709
635	0.06614697213
636	0.06603086334
637	0.06591355334
638	0.06576675873
639	0.06568728594
640	0.06560483968
641	0.0654506032
642	0.06530150502
643	0.06511113688
644	0.06497000549
645	0.06482982144
646	0.06472242436
647	0.06451526579
648	0.06442298164
649	0.0643724561
650	0.06427250093
651	0.06412062558
652	0.06401034479
653	0.06394874864
654	0.06380189907
655	0.06373169305
656	0.06357444002
657	0.06342449051
658	0.06323518148
659	0.063075409
660	0.06290116237
661	0.06272665547
662	0.0625054847
663	0.06232614326
664	0.06216508212
665	0.06203307133
666	0.06187674579
667	0.06175420609
668	0.06164321788
669	0.06156551453
670	0.06146430887
671	0.06136994316
672	0.06127557067
673	0.06115181584
674	0.06103952107
675	0.06088291953
676	0.06073748978
677	0.06063827871
678	0.0604451117
679	0.06029013098
680	0.06021166482
681	0.06005437321
682	0.059937704
683	0.05979983398
684	0.05967879544
685	0.05951651991
686	0.05941853231
687	0.0593154318
688	0.05917797184
689	0.05904018155
690	0.05892211848
691	0.05883286352
692	0.05872928953
693	0.05865326181
694	0.05855486359
695	0.0584480899
696	0.05827458282
697	0.05817810577
698	0.05814623141
699	0.05802673744
700	0.05792181262
701	0.05784377768
702	0.05768903829
703	0.05758424928
704	0.0573968891
705	0.05724849679
706	0.05716590874
707	0.05705261714
708	0.05696208466
709	0.05683668393
710	0.05673928071
711	0.05660256179
712	0.05648041137
713	0.05634878674
714	0.0562331995
715	0.0560844614
716	0.05597698289
717	0.05583431106
718	0.05567865094
719	0.0556066397
720	0.05555406855
721	0.05547312258
722	0.05527122987
723	0.05510038549
724	0.05503610685
725	0.05493252911
726	0.05476512602
727	0.05463504765
728	0.05453643185
729	0.05438865311
730	0.05433609724
731	0.05426388113
732	0.05416242215
733	0.05404145211
734	0.05399297663
735	0.05384076226
736	0.05372146999
737	0.05359582458
738	0.05344002468
739	0.05334995927
740	0.05326980775
741	0.05318355372
742	0.05312602347
743	0.05307269025
744	0.05296736367
745	0.05286874193
746	0.05276724677
747	0.05271117355
748	0.05260274622
749	0.05244669641
750	0.05238310728
751	0.05224136736
752	0.05218039405
753	0.05207904204
754	0.05195463614
755	0.05180238126
756	0.05176639168
757	0.05165129577
758	0.05160584571
759	0.05155316504
760	0.05144141163
761	0.05132601837
762	0.05118749023
763	0.05112010688
764	0.0509978213
765	0.0508543674
766	0.05072652721
767	0.05063742695
768	0.05054212825
769	0.05043584206
770	0.05029352705
771	0.05020341841
772	0.05017030239
773	0.05012882256
774	0.05006545811
775	0.04997358524
776	0.04988041585
777	0.04976907396
778	0.04966614337
779	0.04957424646
780	0.04943840917
781	0.04929022617
782	0.04920697463
783	0.04904380544
784	0.04895135284
785	0.04885687606
786	0.04878716728
787	0.04872889392
788	0.04866470653
789	0.04859298885
790	0.04854309169
791	0.04844431162
792	0.04836255816
793	0.04828587753
794	0.04824674974
795	0.04815682256
796	0.04808938985
797	0.04798553078
798	0.04791718403
799	0.04782801485
800	0.04774063058
801	0.04763298796
802	0.04760127001
803	0.04749649097
804	0.04744970324
805	0.04737584348
806	0.04729888941
807	0.04719912576
808	0.04712893755
809	0.04706823848
810	0.04700114479
811	0.04693776932
812	0.0468014609
813	0.04667828708
814	0.04660216889
815	0.04649367303
816	0.046471141
817	0.04640044268
818	0.0463104385
819	0.04619904978
820	0.04616755202
821	0.04612531742
822	0.04606165508
823	0.04595276116
824	0.04589245684
825	0.04578809132
826	0.04573105485
827	0.04568771256
828	0.04558665015
829	0.04550548431
830	0.04547060511
831	0.04537693789
832	0.04530390447
833	0.04522916909
834	0.04509592007
835	0.0450299451
836	0.04489838166
837	0.04482472108
838	0.0447027197
839	0.04459559946
840	0.044497736
841	0.04445494722
842	0.04440200775
843	0.04432218452
844	0.0442416185
845	0.04415419274
846	0.04409395208
847	0.04403908176
848	0.04398987144
849	0.04394135987
850	0.04384768149
851	0.04371948055
852	0.04366692568
853	0.04354173477
854	0.04344452805
855	0.04333714375
856	0.04325393491
857	0.04313184041
858	0.04303093421
859	0.04291358933
860	0.04286218577
861	0.04280015953
862	0.04271074009
863	0.04262540347
864	0.04253913419
865	0.04248679853
866	0.04243795141
867	0.0423562425
868	0.04228185644
869	0.04222007669
870	0.04212537674
871	0.04204369384
872	0.04189311141
873	0.0418033421
874	0.04177196215
875	0.04169214957
876	0.04158001406
877	0.04150532428
878	0.04143352767
879	0.041314612
880	0.04121794724
881	0.04112884832
882	0.04109406575
883	0.04104021859
884	0.04093705279
885	0.04089911879
886	0.04087483478
887	0.04080658411
888	0.04072193616
889	0.04069971856
890	0.04064095762
891	0.04056894091
892	0.0405195416
893	0.04045776367
894	0.04038578082
895	0.04032161921
896	0.04027336331
897	0.04018010249
898	0.04010199782
899	0.04007553318
900	0.0399867235
901	0.03990852627
902	0.0398398368
903	0.03979565804
904	0.03972575055
905	0.03962612684
906	0.03954887105
907	0.03948350146
908	0.0394131551
909	0.03933354407
910	0.0392557704
911	0.03919266086
912	0.03910389447
913	0.03904296418
914	0.0389575458
915	0.03886441752
916	0.03877858421
917	0.03873123801
918	0.03868037136
919	0.0386084876
920	0.03855654763
921	0.03851947467
922	0.03842598918
923	0.03838382017
924	0.03832401192
925	0.03828529611
926	0.03823365715
927	0.0381512917
928	0.03811153393
929	0.03802642888
930	0.0379322555
931	0.03783305221
932	0.03777830149
933	0.03769122122
934	0.03762435928
935	0.03752892403
936	0.03749218039
937	0.03747394015
938	0.03745942618
939	0.03738238533
940	0.03731548539
941	0.03728583484
942	0.03721193795
943	0.03715698404
944	0.03712773963
945	0.03707757642
946	0.03700773248
947	0.03690629144
948	0.03681970173
949	0.03675026052
950	0.036680687
951	0.03660596346
952	0.03654568313
953	0.0365155241
954	0.03645713443
955	0.03641474855
956	0.03632184398
957	0.03624771595
958	0.03617305195
959	0.03608890408
960	0.03602883205
961	0.03600004944
962	0.03594952263
963	0.03588433796
964	0.03583014589
965	0.03580440815
966	0.03577684806
967	0.03568173121
968	0.03563098952
969	0.03556839631
970	0.03549520523
971	0.03543539729
972	0.03539961192
973	0.03535429271
974	0.03532746071
975	0.0352433363
976	0.0351925593
977	0.0351477593
978	0.0350635095
979	0.03502388236
980	0.03498570836
981	0.03490982789
982	0.03482843095
983	0.03477386893
984	0.03473954217
985	0.03466955136
986	0.03460596861
987	0.03456239374
988	0.03455467201
989	0.03449214274
990	0.03444428161
991	0.03440696569
992	0.03436118335
993	0.03430310737
994	0.03421642419
995	0.03414956723
996	0.03409201776
997	0.03403842767
998	0.03395366498
999	0.03390902686

998	0.03436832215
999	0.03431331191
